"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Lea.State","ID","Year","Category","Sex","no.AmericanIndianAbs","no.AsianAbs","no.HawaiianPIAbs","no.HispanicAbs","no.BlackAbs","no.WhiteAbs","no.Two.or.more.racesAbs","TotalAbs","no.IdeaAbs","no.504Abs","no.LEPAbs"
"coquillardtraditionalschool","IN","southbendcommunityschoolcorp",458,0.4,0,0,58,21.2,12,7.9,7.2,14.8,1.5,46628,0,1644,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,"Coquillard Traditional School",1,91.7,-1.23745032288762,1,101,"IN",181029001644,2017,"Students absent 15 or more school dates during school year","M","-","-","-","11","44","13","7",75,"9","1.00","5.00"
"coquillardtraditionalschool","IN","southbendcommunityschoolcorp",458,0.4,0,0,58,21.2,12,7.9,7.2,14.8,1.5,46628,0,1644,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,"Coquillard Traditional School",1,91.7,-1.23745032288762,1,101,"IN",181029001644,2017,"Students absent 15 or more school dates during school year","F","-","-","-","14","44","7","10",75,"4","-","4.00"
"coralreefmontessoriacademycharter","FL","dade",490,0,2.7,0,19,59,17.6,1.6,6.1,9.4,4,33170,1,3340,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"CORAL REEF MONTESSORI ACADEMY CHARTER",1,19.8,0.0287434540208533,1,10,"FL",1.20039e+11,2017,"Students absent 15 or more school dates during school year","M","-","2","-","18","5","8","-",33,"3","2","2"
"coralreefmontessoriacademycharter","FL","dade",490,0,2.7,0,19,59,17.6,1.6,6.1,9.4,4,33170,1,3340,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"CORAL REEF MONTESSORI ACADEMY CHARTER",1,19.8,0.0287434540208533,1,10,"FL",1.20039e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","17","1","8","-",26,"5","-","4"
"cornerstonemontessorielementary","MN","cornerstonemontessorielementary",137,0.7,6,0,14.6,15.3,50.4,13.1,8.8,14.6,1.5,55106,1,4523,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"CORNERSTONE MONTESSORI ELEMENTARY",1,43.1,-0.411019081717502,1,11,"MN",2.70037e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","2","2","-","-",4,"1","-","1"
"cornerstonemontessorielementary","MN","cornerstonemontessorielementary",137,0.7,6,0,14.6,15.3,50.4,13.1,8.8,14.6,1.5,55106,1,4523,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"CORNERSTONE MONTESSORI ELEMENTARY",1,43.1,-0.411019081717502,1,11,"MN",2.70037e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","1","-","3","-",4,"1","-","1"
"countrysidemontessoriacademy","FL","pasco",326,0,9.8,0.3,5.2,20.2,58.9,5.5,1.5,6.4,7.7,34639,1,3916,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"COUNTRYSIDE MONTESSORI ACADEMY",1,13.2,-1.45274196626238,1,12,"FL",1.20153e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","3","-","4","1",8,"4","-","1"
"countrysidemontessoriacademy","FL","pasco",326,0,9.8,0.3,5.2,20.2,58.9,5.5,1.5,6.4,7.7,34639,1,3916,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"COUNTRYSIDE MONTESSORI ACADEMY",1,13.2,-1.45274196626238,1,12,"FL",1.20153e+11,2017,"Students absent 15 or more school dates during school year","F","-","1","-","5","-","9","1",16,"3","2","1"
"creativemontessoriacademy","MI","creativemontessoriacademy",805,0.1,4,0,27.5,15.4,47.6,5.2,8.1,0,0,48195,1,1445,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Creative Montessori Academy",1,51.9,0.622696313615423,1,13,"MI",2.60027e+11,2017,"Students absent 15 or more school dates during school year","F","-","2","-","8","18","28","5",61,"9","-","3"
"creativemontessoriacademy","MI","creativemontessoriacademy",805,0.1,4,0,27.5,15.4,47.6,5.2,8.1,0,0,48195,1,1445,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Creative Montessori Academy",1,51.9,0.622696313615423,1,13,"MI",2.60027e+11,2017,"Students absent 15 or more school dates during school year","M","-","2","-","8","20","33","8",71,"17","-","4"
