"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal punishment_White","Corporal punishment_Black","Corporal punishment_Hispanic","Corporal punishment_tot_dis","in-school suspensions_White","in-school suspensions_Black","in-school suspensions_Hispanic","in-school suspensions_tot_dis","only one out-of-school_White","only one out-of-school_Black","only one out-of-school_Hispanic","only one out-of-school_tot_dis","more than one out-of-school_White","more than one out-of-school_Black","more than one out-of-school_Hispanic","more than one out-of-school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis"
"renaissancecharteratcrownpoint","FL","orange",787,0.4,6.5,1.3,34.2,28,26.3,3.4,9.1,8,5,34761,0,8564,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,"RENAISSANCE CHARTER AT CROWN POINT",1,17.7,-0.212672638144664,1,18,0,0,0,0,0,0,0,0,10,22,9,8,3,18,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ridgemoorparkmontessori","MI","grandrapidspublicschools",83,0,2.4,0,30.1,15.7,41,10.8,7.2,14.5,0,49546,1,8812,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Ridgemoor Park Montessori",1,58,-1.01702283654826,1,102,0,0,0,0,0,2,0,NA,0,1,0,NA,1,3,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ridgeparkcharteracademy","MI","ridgeparkcharteracademy",585,0.2,2.9,0,61,15.7,15.6,4.6,26.5,11.1,0.3,49546,0,1135,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Ridge Park Charter Academy",1,81.9,-1.33098547240638,1,86,0,0,0,0,2,27,5,6,3,35,7,9,2,24,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"river'sedgemontessoriprek-6school","OH","daytoncity",554,0,2,0,50,4.3,37.9,5.6,13.5,11.4,0.4,45405,1,791,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"River's Edge Montessori PreK-6 School",1,99.5,-2.70658079647224,1,103,0,0,0,0,0,0,0,NA,3,11,0,NA,1,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"riverviewmiddle","WI","barronareaschooldistrict",378,0,0,0,11,6.3,78.8,3.2,9,15.1,0,54812,0,118,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"Riverview Middle",1,54.9,-4.0922013550648,1,7,0,0,0,0,12,6,0,5,8,5,1,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"riverwaylearningcommunitychtr","MN","riverwaylearningcommunitychtr",67,0,0,0,26.9,0,73.1,0,0,28,0,55987,0,3478,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"RIVERWAY LEARNING COMMUNITY CHTR",1,66.7,0.799954324043705,1,104,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rochelleschoolofthearts","FL","polk",849,0,1,0,45.9,17.2,32.2,4,3,4,6,33880,0,1719,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"ROCHELLE SCHOOL OF THE ARTS",1,44.9,0.826980591049737,1,113,0,0,0,0,2,12,2,0,10,52,2,8,0,66,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rocklinindependentcharteracademy","CA","rocklinunified",151,2,5.3,0,0,14.6,66.2,11.9,0.7,9.9,0,95765,0,13722,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,"Rocklin Independent Charter Academy",1,29.8,0.942164841910909,1,112,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"roselandmontessori","LA","tangipahoaparish",459,0,0,0,37,0.9,57.7,4.4,0,15.9,15.5,70586,1,1321,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Roseland Montessori",1,38.9,1.91688999718833,1,104,0,0,0,0,8,18,0,NA,8,6,0,NA,1,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"rosenthalmontessorielementaryschool","LA","rapidesparish",391,0,1.5,0,80.6,0.5,17.4,0,0,4.3,1.5,71301,1,1076,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Rosenthal Montessori Elementary School",1,80.6,-1.44946470856234,1,105,0,0,0,0,0,0,0,NA,0,2,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
