"","schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal.punishment_White","Corporal.punishment_Black","Corporal.punishment_Hispanic","Corporal.punishment_tot_dis","in.school.suspensions_White","in.school.suspensions_Black","in.school.suspensions_Hispanic","in.school.suspensions_tot_dis","only.one.out.of.school_White","only.one.out.of.school_Black","only.one.out.of.school_Hispanic","only.one.out.of.school_tot_dis","more.than.one.out.of.school_White","more.than.one.out.of.school_Black","more.than.one.out.of.school_Hispanic","more.than.one.out.of.school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis","Black_num","Hispanic_num","White_num","tot_OSSsus","tot_OSSRate","tot_ISSsus","tot_ISSRate","white_OSS_rate","black_OSS_rate","hispanic_OSS_rate","white_ISS_rate","black_ISS_rate","hispanic_ISS_rate","zeroISS","issP","zeroOSS"
"177","muskegonmontessoriacademyforenvironmentalchange","MI","muskegonmontessoriacademyforenvironmentalchange",153,0,0,0,20.3,11.8,56.2,11.8,4.6,11.1,1.3,49441,1,8568,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Muskegon Montessori Academy for Environmental Change",1,75.9,2.06252431360981,1,88,0,0,0,0,0,0,0,NA,4,5,0,NA,3,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,31,18,86,15,0.111111111111111,0,0,0.0813953488372093,0.225806451612903,0.0555555555555556,0,0,0,"zero",0.651725685965303,"nonZero"
"178","nearwestintergenerationalschool","OH","nearwestintergenerationalschool",237,0,1,0,41.8,13.9,32,11,5.5,18.1,1.7,44113,0,5596,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Near West Intergenerational School",1,83.5,-0.323653141432341,1,51,0,0,0,0,2,7,2,5,2,8,3,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,33,76,16,0.0769230769230769,11,0.0528846153846154,0.0394736842105263,0.101010101010101,0.0909090909090909,0.0263157894736842,0.0707070707070707,0.0606060606060606,"nonZero",0.410521128817403,"nonZero"
"179","newdiscoveriesmontessoriacademy","MN","newdiscoveriesmontessoriacademy",196,5,0,1,3.1,9,82.1,0,0,46,9.2,55904,1,3616,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"NEW DISCOVERIES MONTESSORI ACADEMY",1,59.7,1.09292353771242,1,90,0,0,0,0,57,0,8,NA,40,0,6,NA,6,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6,18,161,55,0.297297297297297,65,0.351351351351351,0.285714285714286,0,0.5,0.354037267080745,0,0.444444444444444,"nonZero",0.140490736500175,"nonZero"
"180","nokomismontessorinorthcampus","MN","st.paulpublicschooldistrict",420,0.7,53,0,8,7,24,7.6,34.8,10.5,1,55119,1,1194,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"NOKOMIS MONTESSORI NORTH CAMPUS",1,61.9,-0.475097215953322,1,91,0,0,0,0,0,0,0,NA,0,1,1,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,34,29,101,3,0.0182926829268293,0,0,0.0099009900990099,0.0294117647058824,0.0344827586206897,0,0,0,"zero",0.472950963937373,"nonZero"
"181","nokomismontessorisouthcampus","MN","st.paulpublicschooldistrict",287,0,42,0,13.6,12.9,21.6,10.1,31.4,12.9,0.3,55106,1,4684,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"NOKOMIS MONTESSORI SOUTH CAMPUS",1,57.5,-0.260676010896998,1,92,0,0,0,0,0,0,0,NA,0,2,0,NA,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,39,37,62,4,0.0289855072463768,0,0,0.0161290322580645,0.0512820512820513,0.027027027027027,0,0,0,"zero",0.484137853605445,"nonZero"
"182","northavondalemontessorielementaryschool","OH","cincinnaticity",617,0.2,1.5,0.2,70.3,1.1,19.6,7.1,1.6,13.1,3.9,45229,1,353,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"North Avondale Montessori Elementary School",1,94.4,-0.87654411323252,1,93,0,0,0,0,9,161,1,NA,2,21,0,NA,0,15,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,434,7,121,38,0.0676156583629893,171,0.304270462633452,0.0165289256198347,0.0829493087557604,0,0.0743801652892562,0.370967741935484,0.142857142857143,"nonZero",0.397765007594537,"nonZero"
"183","northeastohiocollegepreparatoryschool","OH","northeastohiocollegepreparatoryschool",504,0,0,0,78.4,11.5,5,5.4,1.8,17.9,0.6,44113,0,5644,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"Northeast Ohio College Preparatory School",1,52.7,-0.827551725722159,1,92,0,0,0,0,1,2,0,1,2,62,8,15,3,59,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,58,25,139,0.290794979079498,3,0.00627615062761506,0.2,0.306329113924051,0.224137931034483,0.04,0.00506329113924051,0,"nonZero",0.310159412416841,"nonZero"
"184","northglademontessorischool","MI","kalamazoopublicschools",252,0.4,1.2,0,50.8,2.4,35.3,10,4.4,4,2,49007,1,5667,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Northglade Montessori School",1,70.5,-0.796943182658955,1,94,0,0,0,0,0,0,0,NA,1,6,1,NA,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,128,6,89,10,0.0448430493273543,0,0,0.0224719101123595,0.0546875,0.166666666666667,0,0,0,"zero",0.65636306158575,"nonZero"
"185","northhimountel","TX","fortworthisd",403,0,2,0,14.4,48.6,30.5,4.7,15.9,7.7,5,76107,0,1892,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"NORTH HI MOUNT EL",1,52.2,-1.29753428080612,1,69,0,0,0,0,2,1,1,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,196,123,6,0.0159151193633952,4,0.0106100795755968,0.016260162601626,0.0689655172413793,0,0.016260162601626,0.0172413793103448,0.00510204081632653,"nonZero",0.47978323627809,"nonZero"
"186","northlakesacademy","MN","northlakesacademy",191,0,2.6,0,4.2,6.3,84.3,2.1,2.6,29.3,5.8,55025,0,3045,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,"NORTH LAKES ACADEMY",1,24.2,-0.678062268301855,1,47,0,0,0,0,14,1,1,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,161,11,0.0607734806629834,16,0.0883977900552486,0.0683229813664596,0,0,0.0869565217391304,0.125,0.0833333333333333,"nonZero",0.181619820948164,"nonZero"
